epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,10065.7,1.54979,1.31975,0.95016,0.5109,0.81032,0.56282,0.31625,1.18779,3.5878,0.78561,0.0009308,0.0009308,0.0009308
110,10140.3,1.49571,1.33774,0.93145,0.51703,0.81618,0.56844,0.32746,1.154,3.33301,0.77468,0.0009209,0.0009209,0.0009209
111,10215.9,1.55705,1.33866,0.95765,0.50593,0.84743,0.57551,0.3311,1.11077,4.53797,0.77625,0.000911,0.000911,0.000911
112,10291.2,1.64292,1.34625,0.94528,0.50617,0.86293,0.57998,0.31731,1.14293,5.52329,0.77398,0.0009011,0.0009011,0.0009011
113,10366.2,1.50466,1.27631,0.93714,0.50756,0.85071,0.58302,0.33706,1.13245,5.72722,0.77318,0.0008912,0.0008912,0.0008912
114,10441.9,1.57977,1.25883,0.91972,0.51412,0.82537,0.588,0.33424,1.15315,4.21034,0.77756,0.0008813,0.0008813,0.0008813
115,10517.9,1.42872,1.23341,0.95402,0.51233,0.84199,0.59026,0.33339,1.11802,4.39584,0.77631,0.0008714,0.0008714,0.0008714
116,10592.6,1.55823,1.30846,0.91568,0.48364,0.81801,0.55702,0.32298,1.14403,8.36181,0.77255,0.0008615,0.0008615,0.0008615
117,10670.2,1.49033,1.29332,0.96184,0.48576,0.83456,0.56788,0.32946,1.12412,9.27162,0.77043,0.0008516,0.0008516,0.0008516
118,10744.9,1.51195,1.35425,0.94619,0.50757,0.85263,0.58272,0.32578,1.18416,5.17692,0.78145,0.0008417,0.0008417,0.0008417
119,10822.9,1.52309,1.41026,0.92919,0.50982,0.85662,0.59575,0.33635,1.17233,3.82924,0.77945,0.0008318,0.0008318,0.0008318
120,10898.9,1.46134,1.31279,0.92365,0.49974,0.86581,0.58307,0.32801,1.19487,5.62697,0.77075,0.0008219,0.0008219,0.0008219
121,10976.2,1.52669,1.28057,0.93122,0.49307,0.86896,0.58256,0.33584,1.16429,6.47502,0.76594,0.000812,0.000812,0.000812
122,11050.5,1.58554,1.48657,0.9351,0.50087,0.85593,0.57823,0.34705,1.09098,5.6936,0.76236,0.0008021,0.0008021,0.0008021
123,11125.9,1.48656,1.24012,0.93194,0.51004,0.87316,0.58865,0.35665,1.06405,4.75074,0.75861,0.0007922,0.0007922,0.0007922
124,11202.4,1.47453,1.45552,0.92474,0.50691,0.87308,0.59518,0.36744,1.07707,4.89806,0.75818,0.0007823,0.0007823,0.0007823
125,11276.1,1.54145,1.50735,0.92639,0.50392,0.90441,0.60603,0.34528,1.13204,4.53354,0.76429,0.0007724,0.0007724,0.0007724
126,11353.2,1.58252,1.36053,0.9091,0.51256,0.89706,0.61141,0.35188,1.09006,4.32432,0.75768,0.0007625,0.0007625,0.0007625
127,11429.6,1.47709,1.25318,0.91364,0.52451,0.88971,0.60389,0.35063,1.08855,4.21956,0.75443,0.0007526,0.0007526,0.0007526
128,11505.1,1.46536,2.06736,0.90353,0.52997,0.88235,0.60452,0.34518,1.0764,4.8835,0.75842,0.0007427,0.0007427,0.0007427
129,11580.2,1.47521,1.21232,0.90153,0.51835,0.87132,0.58799,0.34645,1.06891,5.44618,0.75676,0.0007328,0.0007328,0.0007328
130,11656.8,1.41767,1.33635,0.98019,0.51658,0.86213,0.57549,0.34951,1.07519,6.6358,0.74879,0.0007229,0.0007229,0.0007229
131,11732.6,1.58087,1.31804,0.90742,0.51495,0.84502,0.58163,0.35441,1.08691,6.9671,0.7537,0.000713,0.000713,0.000713
132,11808.4,1.42401,1.22118,0.94089,0.50659,0.8644,0.5955,0.36181,1.05743,4.82576,0.75453,0.0007031,0.0007031,0.0007031
133,11884.5,1.43394,1.12973,0.93059,0.52443,0.875,0.61349,0.36609,1.07042,4.63127,0.75145,0.0006932,0.0006932,0.0006932
134,11961.4,1.51348,1.23662,0.90833,0.52716,0.875,0.61018,0.36217,1.10913,4.76235,0.75977,0.0006833,0.0006833,0.0006833
135,12035.7,1.44271,1.19517,0.91579,0.52219,0.86765,0.60518,0.35981,1.06759,4.86983,0.75685,0.0006734,0.0006734,0.0006734
136,12111.2,1.45412,1.23707,0.92158,0.52139,0.8731,0.60907,0.36443,1.11043,4.73127,0.75996,0.0006635,0.0006635,0.0006635
137,12186.7,1.43004,1.15324,0.9169,0.51814,0.875,0.61327,0.37179,1.06182,4.32223,0.75844,0.0006536,0.0006536,0.0006536
138,12263.2,1.4273,1.19113,0.92382,0.52383,0.88235,0.61512,0.38174,1.04805,4.37826,0.75163,0.0006437,0.0006437,0.0006437
139,12337.7,1.39383,1.27549,0.92889,0.52282,0.87132,0.61589,0.37713,1.07258,4.91912,0.75475,0.0006338,0.0006338,0.0006338
140,12414,1.51616,1.14303,0.87893,0.51687,0.88051,0.61252,0.37004,1.05492,6.05396,0.75135,0.0006239,0.0006239,0.0006239
141,12552.1,1.46539,1.21153,0.90184,0.52711,0.87132,0.61463,0.37515,1.0396,5.41034,0.74859,0.000614,0.000614,0.000614
142,12831.8,1.39142,1.22874,0.91203,0.52416,0.88419,0.61136,0.37293,1.00186,7.2056,0.74968,0.0006041,0.0006041,0.0006041
143,13110.7,1.37515,1.09415,0.92181,0.52739,0.88207,0.61535,0.36926,1.02039,7.5954,0.74193,0.0005942,0.0005942,0.0005942
144,13388,1.32135,3.57562,0.84897,0.5229,0.90459,0.62019,0.37784,1.00635,6.44537,0.74182,0.0005843,0.0005843,0.0005843
145,13669.1,1.3441,1.12134,0.9105,0.51897,0.90441,0.62073,0.37731,1.02295,5.41641,0.74167,0.0005744,0.0005744,0.0005744
146,13950.2,1.42845,1.228,0.90013,0.51411,0.90257,0.61603,0.37471,1.03977,4.55045,0.74646,0.0005645,0.0005645,0.0005645
147,14240.8,1.43987,1.2824,0.88949,0.51866,0.90809,0.61848,0.37689,1.0443,4.99609,0.74665,0.0005546,0.0005546,0.0005546
148,14523.6,1.46096,1.21388,0.88932,0.53217,0.88051,0.61927,0.3893,1.04086,4.29919,0.74502,0.0005447,0.0005447,0.0005447
149,14809,1.41564,1.26373,0.90106,0.53109,0.89706,0.62171,0.39747,1.01202,3.85156,0.74431,0.0005348,0.0005348,0.0005348
150,15095.8,1.42484,1.14476,0.92716,0.53429,0.89419,0.62306,0.38443,1.04821,3.66965,0.74988,0.0005249,0.0005249,0.0005249
151,15375.2,1.2771,1.05531,0.90501,0.52937,0.90257,0.62987,0.39469,1.00037,3.98441,0.74272,0.000515,0.000515,0.000515
152,15664.5,1.45605,1.14107,0.88515,0.5273,0.90625,0.62532,0.3903,1.00704,5.09301,0.7445,0.0005051,0.0005051,0.0005051
153,15947.3,1.36522,1.22157,0.91692,0.52486,0.91783,0.61706,0.38743,1.02148,6.20162,0.74562,0.0004952,0.0004952,0.0004952
154,16237.9,1.41296,1.20033,0.89777,0.5222,0.90993,0.61278,0.39168,0.97538,6.08684,0.74207,0.0004853,0.0004853,0.0004853
155,16525,1.40769,1.14033,0.89629,0.53122,0.90198,0.62077,0.38913,0.97381,5.1972,0.74107,0.0004754,0.0004754,0.0004754
156,16815.5,1.35146,1.12193,0.89852,0.53559,0.90993,0.6284,0.39456,0.97337,4.27548,0.74046,0.0004655,0.0004655,0.0004655
157,17100.6,1.32594,1.27595,0.87774,0.54075,0.90074,0.62429,0.40569,0.97791,4.02351,0.74109,0.0004556,0.0004556,0.0004556
158,17385.9,1.43202,1.17541,0.91428,0.54234,0.92363,0.62341,0.39359,1.03316,4.40018,0.7438,0.0004457,0.0004457,0.0004457
159,17677.5,1.23603,2.50665,0.83677,0.54668,0.91176,0.62665,0.40419,1.0026,3.89379,0.74043,0.0004358,0.0004358,0.0004358
160,17963.7,1.379,1.17874,0.90982,0.54153,0.89022,0.62251,0.40502,0.9569,3.43533,0.7358,0.0004259,0.0004259,0.0004259
161,18245.9,1.3753,1.13355,0.89451,0.53494,0.90809,0.62382,0.39805,0.98617,3.65751,0.73651,0.000416,0.000416,0.000416
162,18533.5,1.45479,1.39034,0.88639,0.53358,0.9136,0.62605,0.40702,0.97004,3.80489,0.73431,0.0004061,0.0004061,0.0004061
163,18818.4,1.36578,1.21041,0.87326,0.53311,0.91728,0.6263,0.41068,0.96746,3.85872,0.73083,0.0003962,0.0003962,0.0003962
164,19106.8,1.27061,1.12291,0.90124,0.53528,0.91256,0.62885,0.40246,0.98357,3.76287,0.73489,0.0003863,0.0003863,0.0003863
165,19394.7,1.39359,1.20145,0.88436,0.53248,0.90625,0.63171,0.4043,0.9729,3.78013,0.73454,0.0003764,0.0003764,0.0003764
166,19688.2,1.32443,1.07465,0.89557,0.53817,0.91728,0.63363,0.4156,0.95194,3.7855,0.73401,0.0003665,0.0003665,0.0003665
167,19973.4,1.28029,1.10517,0.88371,0.54022,0.93015,0.63607,0.40875,1.01164,4.1927,0.73493,0.0003566,0.0003566,0.0003566
168,20266.4,1.28227,1.07542,0.88326,0.53891,0.92831,0.63052,0.40744,0.95972,4.86084,0.73338,0.0003467,0.0003467,0.0003467
169,20490.1,1.34133,1.03571,0.89536,0.53988,0.92279,0.62828,0.41069,0.94084,4.71573,0.7308,0.0003368,0.0003368,0.0003368
170,20563.7,1.20333,1.43132,0.86725,0.54252,0.92831,0.62742,0.40964,0.95028,4.46597,0.72805,0.0003269,0.0003269,0.0003269
171,20640,1.35685,1.24236,0.87367,0.54054,0.93566,0.63629,0.40726,0.94878,3.74356,0.72715,0.000317,0.000317,0.000317
172,20715.5,1.33089,1.1632,0.88803,0.53595,0.93627,0.63431,0.40744,0.9178,3.24311,0.72514,0.0003071,0.0003071,0.0003071
173,20790.9,1.24138,1.13626,0.89306,0.53467,0.93934,0.62951,0.39956,0.94943,3.38294,0.72608,0.0002972,0.0002972,0.0002972
174,20866.3,1.30067,1.1503,0.88408,0.53974,0.94118,0.64021,0.40744,0.94027,3.73726,0.72828,0.0002873,0.0002873,0.0002873
175,20941.9,1.30323,1.08773,0.87264,0.54897,0.92831,0.64464,0.41489,0.93079,4.11552,0.72819,0.0002774,0.0002774,0.0002774
176,21016.3,1.27822,1.08337,0.88205,0.54897,0.92403,0.64345,0.41637,0.92064,4.36179,0.7291,0.0002675,0.0002675,0.0002675
177,21092,1.34023,1.22368,0.88475,0.54139,0.92647,0.63515,0.41522,0.9289,4.15443,0.73161,0.0002576,0.0002576,0.0002576
178,21167.6,1.24411,1.10516,0.8782,0.53709,0.94301,0.6353,0.41271,0.93233,3.87683,0.73039,0.0002477,0.0002477,0.0002477
179,21242.4,1.24942,1.08308,0.88002,0.53762,0.93934,0.63726,0.41496,0.93901,3.72125,0.73259,0.0002378,0.0002378,0.0002378
180,21317.5,1.36859,1.1953,0.87476,0.53821,0.94669,0.63545,0.4142,0.94088,3.52818,0.73271,0.0002279,0.0002279,0.0002279
