epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,4460.94,1.26229,0.66087,0.85781,0.97707,0.95772,0.98134,0.66262,1.03972,0.56771,0.843,0.0005645,0.0005645,0.0005645
147,4480.71,1.25044,0.65751,0.85498,0.97924,0.95367,0.98084,0.66185,1.02481,0.5646,0.84093,0.0005546,0.0005546,0.0005546
148,4500.19,1.17895,0.63249,0.88305,0.98093,0.9614,0.98264,0.66962,1.01244,0.55816,0.84148,0.0005447,0.0005447,0.0005447
149,4519.68,1.28896,0.6495,0.86182,0.98111,0.96324,0.98345,0.67222,1.0119,0.55846,0.84219,0.0005348,0.0005348,0.0005348
150,4539.44,1.34207,0.68689,0.86407,0.97823,0.95772,0.98341,0.67075,1.0029,0.55849,0.84165,0.0005249,0.0005249,0.0005249
151,4559.22,1.26974,0.65802,0.87922,0.97568,0.95864,0.98341,0.66144,1.02848,0.56832,0.84391,0.000515,0.000515,0.000515
152,4578.96,1.21234,0.63485,0.8666,0.97318,0.95221,0.98106,0.6541,1.03746,0.56877,0.8439,0.0005051,0.0005051,0.0005051
153,4598.6,1.16146,0.62951,0.8614,0.9762,0.95588,0.98277,0.66551,1.01612,0.56278,0.84217,0.0004952,0.0004952,0.0004952
154,4617.89,1.19387,0.63362,0.87519,0.97428,0.95404,0.98228,0.66819,1.00762,0.56055,0.84131,0.0004853,0.0004853,0.0004853
155,4637.47,1.20419,0.62564,0.86259,0.97186,0.95227,0.98208,0.66885,1.01039,0.56291,0.8403,0.0004754,0.0004754,0.0004754
156,4657.05,1.16419,0.6197,0.87132,0.94792,0.9761,0.98361,0.66767,1.0178,0.55853,0.84144,0.0004655,0.0004655,0.0004655
157,4676.68,1.20052,0.64726,0.86931,0.95721,0.97059,0.98252,0.66749,1.01837,0.5566,0.84117,0.0004556,0.0004556,0.0004556
158,4696.12,1.13882,0.60441,0.85613,0.97234,0.95221,0.97977,0.67004,1.01574,0.55827,0.84078,0.0004457,0.0004457,0.0004457
159,4715.74,1.25412,0.64214,0.87947,0.95409,0.96507,0.97647,0.67234,1.00307,0.55745,0.83909,0.0004358,0.0004358,0.0004358
160,4735.35,1.31364,0.67405,0.86644,0.95795,0.96318,0.98115,0.66706,1.01444,0.55893,0.83894,0.0004259,0.0004259,0.0004259
161,4754.92,1.19041,0.61659,0.87264,0.97732,0.95075,0.98209,0.66901,1.00324,0.55453,0.83684,0.000416,0.000416,0.000416
162,4774.44,1.21113,0.64308,0.85075,0.98188,0.94485,0.98108,0.67904,0.97477,0.54922,0.83356,0.0004061,0.0004061,0.0004061
163,4794,1.15852,0.62676,0.87535,0.98098,0.93934,0.97705,0.68829,0.96393,0.54621,0.83149,0.0003962,0.0003962,0.0003962
164,4813.75,1.26645,0.64401,0.85388,0.97536,0.94585,0.9764,0.67739,0.99599,0.54779,0.83289,0.0003863,0.0003863,0.0003863
165,4833.37,1.16641,0.61989,0.8646,0.9847,0.94662,0.97855,0.67897,0.99807,0.54586,0.83441,0.0003764,0.0003764,0.0003764
